"Index","Room","Ren","DT","TM","S1_L","S2_L","S3_L","S1_T","S2_T","S3_T","FN"
166,"211","New",7,12,0,0,1,20.024,23.168,22.8,1142
167,"211","New",45,22,1,1,1,21.219,22.836,22.9,1078
168,"211","New",32,17,1,1,1,25.042,22.879,24.062,1048
169,"311","Old",19,5,1,1,1,23.818,23.724,19.132,1104
170,"211","New",16,11,1,1,1,20.07,26.118,25.321,1112
171,"111","New",21,22,0,0,1,23.707,25.104,20.019,1191
172,"211","New",7,8,0,0,1,25.346,24.248,22.637,1125
173,"111","New",17,14,0,0,1,22.529,23.445,22.281,1113
174,"111","New",36,20,0,0,1,19.728,20.199,22.874,1060
175,"211","New",37,20,0,0,1,26.554,23.714,23.257,1139
176,"311","Old",59,17,1,1,1,17.098,24.285,23.213,1104
177,"211","New",57,19,1,1,1,23.423,24.881,21.884,1048
178,"311","Old",34,21,0,0,1,20.731,20.412,22.746,1089
179,"311","Old",60,1,0,0,1,24.031,20.671,22.562,1140
180,"211","New",47,11,1,1,1,21.617,20.828,25.955,1101
181,"311","Old",15,15,1,1,1,23.403,24.586,17.475,1101
182,"211","New",59,15,1,1,1,21.255,21.812,22.809,1126
183,"111","New",19,21,0,0,1,21.711,20.538,23.449,1124
184,"111","New",14,14,0,0,1,21.96,20.889,22.441,1095
185,"311","Old",28,17,1,1,1,23.377,27.651,20.31,1100
186,"111","New",33,2,0,0,1,22.574,20.086,20.972,1085
187,"311","Old",21,17,0,0,1,24.954,19.084,26.665,1153
188,"311","Old",48,7,0,0,1,22.035,23.976,26.324,1123
189,"311","Old",27,7,1,1,1,24.278,18.362,23.136,1156
190,"311","Old",19,11,0,0,1,21.773,22.185,21.926,1099
191,"211","New",39,12,1,1,1,22.82,25.009,23.166,1114
192,"311","Old",42,20,1,1,1,22.631,23.599,21.87,1062
193,"211","New",51,5,1,1,1,24.399,21.068,20.887,1055
194,"111","New",6,10,0,0,1,21.197,17.787,20.799,1074
195,"111","New",32,13,1,1,1,19.234,24.108,22.312,1062
196,"311","Old",43,19,0,0,1,22.408,23.94,23.823,1134
197,"111","New",53,23,0,0,1,23.126,25.74,22.251,1121
198,"311","Old",43,13,1,1,1,25.29,22.435,20.411,1089
199,"111","New",16,9,1,1,1,16.566,18.927,21.776,1072
200,"311","Old",50,19,1,1,1,22.53,24.601,23.37,1096
201,"311","Old",32,6,1,1,1,21.974,22.867,22.202,1125
202,"111","New",16,7,0,0,1,21.347,21.791,22.701,1093
203,"311","Old",44,10,1,1,1,24.533,25.132,19.055,1114
204,"211","New",33,7,0,0,1,21.401,28.81,25.857,1097
205,"311","Old",17,14,1,1,1,20.751,26.649,25.503,1115
206,"211","New",42,13,1,1,1,27.677,24.03,25.827,1128
207,"111","New",44,11,1,1,1,20.871,21.166,22.355,1067
208,"211","New",24,11,1,1,1,23.427,26.665,27.047,1152
209,"111","New",17,24,0,0,1,21.944,21.698,22.541,1121
210,"211","New",15,19,0,0,1,24.903,20.505,22.883,1138
211,"311","Old",50,24,1,1,1,22.649,22.959,24.311,1055
212,"311","Old",40,4,0,0,1,22.859,21.039,20.783,1076
213,"211","New",31,11,1,1,1,21.639,17.958,21.772,1120
214,"211","New",9,13,0,0,1,21.283,22.962,20.76,1165
215,"211","New",30,2,1,1,1,23.554,22.276,24.514,1115
216,"311","Old",40,13,1,1,1,23.142,23.406,24.131,1106
217,"211","New",14,2,0,0,1,20.184,21.516,27.925,1137
218,"111","New",58,4,0,0,1,18.135,21.265,25.775,1125
219,"211","New",23,15,0,0,1,25.193,24.58,24.007,1094
220,"211","New",59,10,1,1,1,21.098,21.93,25.941,1014
221,"311","Old",12,13,1,1,1,23.81,19.171,18.037,1081
222,"111","New",8,22,1,1,1,21.118,20.889,25.282,1102
223,"111","New",28,17,1,1,1,21.741,18.702,24.141,1094
224,"211","New",2,7,0,0,1,17.84,23.386,23.587,1083
225,"211","New",14,3,1,1,1,23.024,22.611,22.663,1088
226,"111","New",57,22,1,1,1,22.967,23.89,22.643,1074
227,"311","Old",20,17,1,1,1,21.636,21.767,23.115,1146
228,"311","Old",20,6,0,0,1,21.381,22.579,23.861,1125
229,"111","New",14,19,1,1,1,21.993,21.487,22.851,1119
230,"111","New",21,13,0,0,1,22.902,20.412,21.533,1107
231,"111","New",23,11,0,0,1,23.657,20.249,21.093,1111
232,"211","New",28,23,1,1,1,21.822,22.156,21.88,1134
233,"311","Old",34,12,0,0,1,24.05,21.865,24.745,1131
234,"111","New",14,16,1,1,1,21.366,24.138,19.578,1087
235,"311","Old",56,2,0,0,1,22.996,24.756,21.039,1090
236,"111","New",5,10,0,0,1,20.772,22.74,21.246,1091
237,"311","Old",37,20,1,1,1,23.084,23.912,23.263,1086
238,"211","New",39,20,0,0,1,25.112,28.134,28.039,1118
239,"311","Old",60,7,0,0,1,23.214,24.027,22.669,1074
240,"111","New",50,4,1,1,1,20.603,20.434,24.01,1114
241,"211","New",32,10,1,1,1,22.34,24.612,22.483,1099
242,"111","New",14,3,1,1,1,22.86,21.91,21.252,1134
243,"211","New",57,18,1,1,1,22.248,23.196,21.877,1070
244,"211","New",36,18,0,0,1,22.168,19.229,20.774,1067
245,"211","New",40,21,1,1,1,23.573,20.86,21.091,1057
246,"311","Old",11,20,1,1,1,18.043,22.436,22.56,1101
247,"111","New",1,18,1,1,1,23.33,20.34,24.195,1052
248,"211","New",51,11,0,0,1,25.416,23.787,26.447,1075
249,"311","Old",44,16,1,1,1,19.463,17.39,23.776,1097
250,"311","Old",2,11,0,0,1,23.649,19.109,20.781,1093
251,"311","Old",56,5,0,0,1,20.583,24.864,25.348,1176
252,"211","New",10,9,0,0,1,21.958,22.295,22.068,1093
253,"111","New",12,17,0,0,1,21.758,21.407,24.031,1070
254,"211","New",39,10,0,0,1,25.035,22.586,25.455,1151
255,"111","New",51,2,1,1,1,23.71,18.031,20.032,1102
256,"111","New",48,9,1,1,1,21.795,22.086,20.211,1144
257,"211","New",3,7,1,1,1,22.046,23.965,24.44,1074
258,"111","New",56,5,0,0,1,23.439,26.222,23.226,1140
259,"111","New",24,19,0,0,1,23.099,19.67,25.058,1097
260,"111","New",47,19,1,1,1,22.015,22.111,21.575,1116
261,"211","New",56,20,0,0,1,24.195,24.459,21.589,1034
262,"211","New",29,21,0,0,1,21.365,26.496,22.581,1073
263,"111","New",16,12,1,1,1,21.657,20.155,25.322,1119
264,"311","Old",17,6,0,0,1,20.504,26.208,23.472,1140
265,"211","New",8,12,1,1,1,24.908,24.979,19.749,1068
266,"211","New",58,4,0,0,1,24.364,24.625,21.728,1099
267,"211","New",59,21,1,1,1,22.811,21.306,24.272,1061
268,"211","New",1,20,0,0,1,21.792,22.382,19.851,1088
269,"211","New",59,1,1,1,1,22.582,27.414,19.798,1094
270,"211","New",30,21,0,0,1,22.333,22.993,21.066,1114
271,"311","Old",55,17,0,0,1,23.043,22.884,21.001,1114
272,"311","Old",33,18,0,0,1,19.455,20.855,26.17,1005
273,"111","New",21,1,0,0,1,19.11,22.512,23.661,1085
274,"211","New",53,2,0,0,1,20.471,23.595,22.862,1101
275,"311","Old",56,22,1,1,1,22.478,21.615,26.077,1123
276,"111","New",40,18,0,0,1,20.65,22.502,22.958,1070
277,"111","New",54,23,1,1,1,24.327,21.278,25.102,1147
278,"311","Old",14,6,0,0,1,24.304,21.748,26.123,1130
279,"211","New",45,14,0,0,1,23.964,27.582,22.261,1076
280,"311","Old",56,4,1,1,1,25.334,21.995,19.707,1163
281,"111","New",44,12,1,1,1,20.392,21.694,22.772,1106
282,"311","Old",2,7,0,0,1,21.135,21.761,20.286,1078
283,"211","New",21,24,1,1,1,22.537,21.903,21.588,1094
284,"211","New",20,10,0,0,1,25.137,25.066,23.753,1011
285,"311","Old",9,16,1,1,1,23.095,24.746,22.421,1127
286,"311","Old",19,18,1,1,1,21.517,21.631,20.417,1115
287,"211","New",16,7,0,0,1,20.482,23.532,24.8,1129
288,"211","New",52,8,0,0,1,21.905,22.009,22.398,1101
289,"111","New",37,24,1,1,1,20.066,22.979,21.668,1124
290,"311","Old",42,16,1,1,1,22.65,23.404,24.318,1101
291,"211","New",12,17,0,0,1,20.867,23.817,22.784,1136
292,"311","Old",58,1,1,1,1,22.342,21.887,23.323,1074
293,"311","Old",51,18,0,0,1,20.377,22.905,22.724,1133
294,"211","New",40,5,1,1,1,21.633,23.989,22.635,1018
295,"311","Old",16,12,1,1,1,22.652,23.413,22.662,1117
296,"211","New",39,14,0,0,1,22.356,21.782,23.129,1079
297,"111","New",28,19,0,0,1,20.084,21.769,25.25,1097
298,"211","New",41,20,1,1,1,22.187,25.973,21.481,1088
299,"211","New",38,17,1,1,1,21.985,20.996,21.946,1068
300,"111","New",50,7,0,0,1,23.768,21.029,19.661,1096
301,"311","Old",1,-11,0,0,1,17.435,24.235,21.255,1088
302,"211","New",40,6,1,1,1,25.59,24.715,24.941,1108
303,"311","Old",10,24,0,0,1,20.494,21.896,20.089,1052
304,"311","Old",34,19,0,0,1,21.4,23.035,20.637,1111
305,"311","Old",8,5,1,1,1,24.455,20.022,22.004,1035
306,"111","New",15,10,1,1,1,22.857,20.791,22.443,1102
307,"311","Old",35,12,0,0,1,24.169,26.375,21.237,1171
308,"211","New",55,1,0,0,1,21.937,24.785,22.506,1184
309,"111","New",19,12,1,1,1,19.891,21.388,23.324,1143
310,"211","New",53,1,1,1,1,21.99,20.274,21.923,1115
311,"211","New",17,4,0,0,1,26.264,24.16,18.493,1142
312,"111","New",45,18,0,0,1,22.175,21.522,21.977,1031
313,"211","New",51,4,1,1,1,21.316,21.278,21.307,1064
314,"211","New",9,16,1,1,1,22.249,21.092,22.47,1070
315,"211","New",51,18,1,1,1,25.706,20.401,22.917,1115
316,"311","Old",60,8,0,0,1,21.668,24.538,19.353,1073
317,"111","New",6,5,1,1,1,24.15,20.723,25.258,1069
318,"211","New",35,7,0,0,1,20.192,22.334,24.766,1107
319,"211","New",37,21,0,0,1,24.934,21.67,23.234,1057
320,"211","New",23,18,0,0,1,26.113,22.111,21.618,1056
321,"111","New",40,3,1,1,1,23.728,23.065,22.181,1037
322,"311","Old",22,20,1,1,1,20.319,25.536,22.444,1090
323,"111","New",58,17,0,0,1,22.321,25.273,23.673,1128
324,"111","New",35,24,0,0,1,23.538,19.531,24.738,1128
325,"311","Old",55,13,0,0,1,21.873,19.357,17.047,1088
326,"311","Old",53,19,1,1,1,23.926,22.92,21.653,1114
327,"211","New",30,16,1,1,1,24.106,21.855,23.585,1068
328,"211","New",54,14,0,0,1,24.612,21.396,19.453,1101
329,"311","Old",41,23,1,1,1,26.37,21.851,22.385,1087
330,"111","New",27,18,0,0,1,23.172,21.31,24.424,1072
331,"311","Old",31,23,0,0,1,19.227,23.989,21.801,1102
332,"211","New",21,23,1,1,1,22.186,22.976,22.056,1093
333,"211","New",27,14,1,1,1,22.686,19.773,25.257,1046
334,"111","New",49,7,1,1,1,18.134,22.74,22.264,1115
335,"111","New",16,21,1,1,1,23.398,20.265,20.683,1097
336,"211","New",32,6,1,1,1,26.74,20.999,19.579,1093
337,"211","New",37,19,0,0,1,23.44,23.576,23.296,1120
338,"111","New",11,5,1,1,1,18.863,21.218,23.681,1182
339,"211","New",56,3,1,1,1,23.131,21.324,24.481,1093
340,"211","New",9,8,1,1,1,22.76,23.504,20.335,1101
341,"311","Old",29,14,1,1,1,22.115,22.967,23.312,1117
342,"311","Old",53,24,0,0,1,23.35,24.85,23.149,1140
343,"311","Old",13,11,1,1,1,27.041,23.058,24.437,1049
344,"311","Old",36,23,1,1,1,25.205,24.887,23.442,1058
345,"311","Old",34,13,1,1,1,24.602,24.141,25.559,1058
346,"111","New",32,9,0,0,1,19.582,20.93,23.693,1106
347,"311","Old",5,20,0,0,1,23.099,26.526,19.574,1127
348,"311","Old",6,16,1,1,1,27.673,20.741,24.864,1145
349,"111","New",50,8,0,0,1,18.874,21.411,23.341,1100
350,"111","New",35,22,0,0,1,23.502,17.984,25.446,1138
351,"111","New",32,4,1,1,1,23.226,16.663,24.914,1074
352,"211","New",50,2,0,0,1,21.996,23.78,20.971,1118
353,"111","New",10,13,1,1,1,21.435,21.469,26.699,1128
354,"311","Old",53,16,1,1,1,25.131,23.394,25.733,1157
355,"211","New",10,19,0,0,1,18.468,22.085,18.884,1119
356,"311","Old",43,14,0,0,1,23.051,20.761,22.876,1091
357,"311","Old",16,3,1,1,1,22.39,20.524,18.608,1088
358,"311","Old",45,4,0,0,1,21.54,22.811,23.6,1121
359,"211","New",49,20,1,1,1,23.984,26.468,21.57,1130
360,"111","New",46,5,0,0,1,23.935,22.609,22.648,1114
361,"211","New",30,24,0,0,1,24.165,23.167,21.63,1122
362,"211","New",22,22,1,1,1,25.042,24.24,22.931,1114
363,"111","New",28,3,1,1,1,21.846,20.041,22.475,1082
364,"311","Old",5,8,1,1,1,23.9,20.637,23.893,1072
365,"211","New",24,1,1,1,1,24.947,24.451,22.313,1099
366,"111","New",7,9,0,0,1,22.36,21.711,22.081,1118
367,"311","Old",20,15,0,0,1,21.933,18.368,20.573,1112
368,"211","New",34,9,1,1,1,24.045,24.371,24.097,1041
369,"211","New",60,17,0,0,1,23.021,23.326,20.5,1061
370,"111","New",51,18,0,0,1,23.703,20.723,24.959,1132
371,"311","Old",26,7,1,1,1,23.181,21.831,24.558,1042
372,"211","New",4,18,0,0,1,22.568,23.834,23.381,1098
373,"211","New",2,18,1,1,1,21.322,19.919,23.286,1176
374,"311","Old",9,18,1,1,1,21.911,19.7,23.785,1079
375,"311","Old",40,12,0,0,1,22.884,23.528,20.32,1024
376,"111","New",17,19,0,0,1,20.344,20.759,21.25,1071
377,"311","Old",17,7,1,1,1,20.45,21.188,21.631,1109
378,"311","Old",11,22,1,1,1,23.029,23.096,21.992,1112
379,"111","New",44,2,1,1,1,24.715,20.299,20.686,1119
380,"111","New",3,7,1,1,1,19.077,20.725,19.404,1126
381,"211","New",11,20,0,0,1,26.137,25.76,21.051,1148
382,"111","New",33,21,1,1,1,18.428,21.717,21.654,1042
383,"311","Old",23,23,0,0,1,22.836,24.427,20.35,1098
384,"311","Old",29,20,0,0,1,18.264,23.962,26.481,1111
385,"311","Old",44,7,0,0,1,23.851,19.888,22.91,1094
386,"111","New",17,8,1,1,1,25.745,22.47,20.897,1054
387,"311","Old",52,11,0,0,1,21.454,22.129,22.791,1037
388,"211","New",52,16,1,1,1,21.701,21.293,22.137,1126
389,"211","New",13,20,1,1,1,22.997,20.566,23.944,1116
390,"111","New",58,20,0,0,1,22.959,17.675,21.083,1107
391,"111","New",39,19,0,0,1,20.835,20.205,25.263,1083
392,"211","New",6,21,0,0,1,24.113,23.685,22.951,1116
393,"111","New",26,16,0,0,1,21.011,19.943,24.914,1107
394,"111","New",43,24,1,1,1,22.614,24.11,21.323,1091
395,"211","New",39,24,1,1,1,20.271,24.774,22.032,1162
396,"111","New",26,9,1,1,1,24.029,21.628,22.97,1125
397,"211","New",32,12,0,0,1,22.752,20.827,21.589,1100
398,"111","New",6,17,1,1,1,19.714,21.805,25.41,1064
399,"111","New",8,21,1,1,1,21.063,18.04,25.461,1124
400,"111","New",59,1,1,1,1,17.31,19.851,24.635,1062
401,"311","Old",32,15,0,0,1,22.077,23.201,22.82,1106
402,"111","New",30,10,0,0,1,23.383,22.418,24.749,1105
403,"211","New",51,7,0,0,1,20.548,23.024,26.002,1092
404,"111","New",55,18,1,1,1,20.049,18.536,20.528,1071
405,"211","New",16,12,0,0,1,23.791,23.486,20.863,1122
406,"311","Old",35,10,0,0,1,20.366,24.542,24.111,1077
407,"311","Old",33,22,1,1,1,21.427,21.974,26.399,1110
408,"211","New",15,13,0,0,1,23.787,21.529,22.827,1152
409,"311","Old",34,22,0,0,1,21.956,19.954,24.113,1128
410,"311","Old",49,1,1,1,1,24.229,22.965,25.492,1158
411,"311","Old",52,24,1,1,1,20.183,19.876,21.799,1099
412,"111","New",21,23,0,0,1,22.97,23.313,23.178,1047
413,"311","Old",49,9,1,1,1,21.258,25.598,22.187,1124
414,"111","New",52,4,0,0,1,22.956,21.465,24.234,1088
415,"211","New",17,2,0,0,1,21.978,24.024,23.929,1062
416,"211","New",57,8,0,0,1,23.559,21.522,23.359,1127
417,"211","New",16,4,0,0,1,22.364,17.969,26.647,1146
418,"311","Old",3,19,0,0,1,22.874,21.842,23.005,1133
419,"211","New",27,10,0,0,1,22.006,24.24,25.961,1098
420,"311","Old",6,15,1,1,1,27.627,24.038,20.57,1124
421,"311","Old",22,21,0,0,1,24.413,20.214,22.289,1043
422,"111","New",50,3,0,0,1,22.575,28.479,25.593,1064
423,"311","Old",18,21,1,1,1,25.215,18.032,23.563,1171
424,"311","Old",4,5,1,1,1,24.453,23.213,26.339,1036
425,"211","New",51,22,1,1,1,25.771,22.621,21.173,1023
426,"111","New",40,20,1,1,1,24.255,23.108,18.774,1190
427,"211","New",6,23,1,1,1,26.257,23.746,23.377,1119
428,"111","New",35,4,1,1,1,22.369,23.097,19.286,1100
429,"311","Old",18,24,0,0,1,21.331,19.007,24.159,1058
