"Age","BP","Sq","DL","PU"
43.3,359,461,480,35
51.1,230,211,228,9
21.7,173,179,277,17
21.7,396,500,537,34
30.7,165,263,356,16
26.3,162,250,234,10
26.4,173,258,227,11
36.6,365,391,432,20
63,283,314,323,20
28.1,143,303,179,6
57.4,81,244,135,2
19.2,184,327,339,19
42.6,240,335,248,30
17.2,158,113,234,3
46.6,250,357,361,27
23.9,162,314,322,14
24.2,397,481,440,31
33.6,129,152,264,6
35.1,177,281,204,8
30.5,171,300,275,19
44,175,193,192,15
43.3,114,206,218,6
41.2,157,137,331,3
44,290,343,314,16
41.1,100,172,224,7
45.9,94,193,146,5
60.8,289,415,514,27
27.1,182,255,277,16
60.3,108,153,193,2
37.1,206,234,483,16
45,293,356,602,11
46,285,367,483,15
41.1,164,264,312,13
38.6,174,140,232,5
24.6,216,340,364,25
30.9,178,214,271,4
46.8,72,150,140,2
56.8,231,188,341,26
57.5,233,352,416,25
36.9,84,173,211,6
53.1,352,381,523,36
48.6,111,156,219,1
29.2,145,159,340,18
35.4,91,162,149,0
19.8,378,493,564,33
22.7,192,201,325,19
37,194,255,372,23
47.2,379,342,440,40
42.1,124,114,212,2
42.8,128,124,286,10
30.3,374,391,582,26
34.6,194,299,389,19
42.2,125,234,220,4
51,262,463,446,37
36.1,350,363,548,36
24.8,159,197,386,10
57.5,317,521,594,40
38.7,147,128,314,19
26.5,364,418,405,20
48.7,93,226,214,7
54.4,119,120,164,4
17.3,192,319,448,11
18.5,381,460,462,29
27.3,165,317,256,13
33.5,185,396,362,10
29.7,185,256,476,12
46.2,305,309,499,15
34.2,364,449,402,42
50.9,292,387,401,35
38,185,180,243,12
24.6,144,193,159,8
27.7,154,200,382,3
19,161,149,208,12
51.4,88,247,136,6
34.5,343,506,523,35
40.7,190,251,425,17
41.2,283,350,292,35
46.4,306,463,446,34
23.8,147,209,252,5
35.4,195,261,478,4
39.9,101,210,143,8
29.1,178,209,170,17
53.9,332,369,392,43
27.6,370,397,551,22
32,179,169,338,11
22.3,171,265,248,19
35.5,371,401,423,25
56.4,218,234,278,10
26.7,169,167,346,8
32.6,184,114,233,15
59.3,297,335,379,27
47.4,134,284,190,12
53.6,287,263,363,25
67.7,268,351,452,43
23.6,365,503,472,22
36.7,111,234,241,9
54.1,319,503,334,35
59.8,92,240,197,6
50.6,303,351,355,14
45.1,105,117,187,7
28.7,382,418,484,42
35.9,369,381,542,38
47.1,247,235,269,11
46.1,86,199,196,4
21.2,165,134,277,13
39.6,165,163,293,12
36.8,176,224,170,2
24.5,387,384,606,41
33.2,156,330,256,8
47.2,279,282,353,28
54.5,107,161,191,9
55.7,113,243,185,2
63.8,109,160,198,1
31.4,360,445,430,23
53.7,273,398,488,31
65.3,296,250,319,20
48.7,111,163,195,8
36.2,155,334,274,4
52.5,107,197,154,6
28.8,140,326,327,17
52.2,102,109,169,8
25.5,163,295,381,6
36,187,274,318,3
48,267,270,353,9
29.1,184,183,235,2
64,104,123,234,5
35.6,392,524,572,43
41.9,97,230,236,7
53.2,289,337,559,24
34,176,102,277,16
31.4,181,176,169,5
45.4,93,128,147,3
35.4,165,261,330,17
45.3,109,137,206,0
32.8,375,517,570,25
51.8,110,115,189,4
33,368,442,439,36
46.9,301,450,469,14
27.4,364,509,421,36
38.1,272,289,408,26
37.1,158,213,216,13
43.4,261,468,447,14
52.8,273,304,370,28
50.4,285,287,325,13
29.3,371,367,555,31
29.2,179,108,173,1
54,271,519,531,38
53.1,305,310,407,43
55.6,294,374,393,14
30.9,155,315,170,6
44.5,301,510,497,41
48.6,264,458,429,30
56.8,129,125,323,16
28.1,198,297,372,21
54.5,255,347,463,37
38,151,172,142,13
51.7,251,383,230,10
59.9,300,295,366,43
19.5,369,508,564,23
38.4,117,121,217,4
38.5,386,384,599,29
33.6,176,295,251,17
31.7,381,334,498,39
35,165,138,212,13
44.4,77,172,232,7
29.7,147,237,256,12
35.5,185,209,230,3
21.9,160,117,174,19
16,186,216,424,22
49.7,236,324,472,13
34.9,250,370,316,17
32.2,188,404,372,15
32,176,248,377,2
54.3,316,469,393,24
28.1,159,246,229,4
42.1,148,245,141,8
47.4,309,250,524,39
69.2,263,494,456,27
26.8,390,398,485,29
46.1,92,193,217,5
55.3,290,441,370,32
34.7,157,306,176,2
44.8,184,181,375,2
29.5,170,145,334,10
46.6,376,444,489,42
41.1,186,420,284,24
28.5,189,199,389,31
38.6,321,483,538,18
22.8,414,426,579,42
68.7,115,167,148,0
33.8,183,223,344,14
52.8,103,155,241,4
33.6,156,278,245,10
39.4,148,325,359,16
22.3,161,146,176,2
