"Prc","Bed","floor","TotFloor","Bath","Sqft","City","Comp","Dist"
818,2,3,7,1,1496,"Blossomville","Rentopia",8.4
2950,1,2,3,1,2449,"Riverport","Leaseflow",7.5
2010,1,2,5,1,779,"Blossomville","Leaseflow",1.7
2490,3,3,5,1,2780,"Riverport","Rentopia",9.9
2610,1,3,5,1,662,"Blossomville","Leaseflow",1.5
2460,1,1,3,2,643,"Terranova","Leaseflow",3.6
1310,3,1,2,4,852,"Riverport","Rentopia",5.2
2240,2,1,2,1,644,"Riverport","Rentopia",6.3
2710,3,1,1,3,2303,"Blossomville","Leaseflow",3.6
1590,1,1,3,1,672,"Terranova","Rentopia",7.7
1480,2,1,5,1,894,"Terranova","Rentopia",3.2
513,2,1,1,1,658,"Riverport","Leaseflow",6.5
1190,1,3,4,1,1136,"Terranova","Leaseflow",1.5
1550,3,3,4,1,1319,"Blossomville","Leaseflow",2.2
1030,2,4,4,1,1344,"Riverport","Rentopia",5.3
2680,4,2,3,1,1505,"Terranova","Rentopia",0.1
3340,1,1,2,1,2668,"Blossomville","Rentopia",2.9
3770,1,1,2,1,1846,"Riverport","Rentopia",1.3
3520,2,3,4,2,546,"Riverport","Rentopia",1.6
3020,1,3,4,1,719,"Terranova","Rentopia",1.8
2630,1,1,3,1,2452,"Blossomville","Rentopia",2
1360,2,1,4,3,624,"Terranova","Leaseflow",5.3
2100,1,1,2,1,663,"Terranova","Rentopia",2.8
2110,1,3,4,1,1918,"Blossomville","Leaseflow",7.9
1210,4,1,3,1,1567,"Blossomville","Rentopia",9.9
2840,2,1,5,3,1031,"Riverport","Leaseflow",3.6
2700,1,1,4,2,2274,"Riverport","Rentopia",4.7
2570,4,4,5,1,1383,"Riverport","Leaseflow",0.2
1790,4,1,2,1,783,"Blossomville","Leaseflow",2.3
3830,1,1,4,4,1884,"Terranova","Rentopia",5.1
2220,3,4,4,1,735,"Terranova","Rentopia",2.2
1570,1,3,7,1,525,"Blossomville","Rentopia",1.6
2130,4,3,4,1,989,"Riverport","Rentopia",1.7
1960,4,1,1,2,857,"Blossomville","Rentopia",1.2
2150,1,3,9,1,2734,"Blossomville","Rentopia",8
1920,2,1,3,1,1026,"Terranova","Rentopia",3.3
1390,1,2,6,1,630,"Blossomville","Leaseflow",9.7
4730,1,1,2,4,1236,"Blossomville","Leaseflow",4.6
3820,1,1,2,3,653,"Blossomville","Leaseflow",3.1
1760,2,1,6,1,1385,"Riverport","Rentopia",3.1
2460,2,1,3,2,1228,"Blossomville","Rentopia",3.4
2640,2,2,4,4,1157,"Blossomville","Leaseflow",1.3
2410,1,1,3,2,1428,"Blossomville","Rentopia",1.3
3610,1,3,4,4,683,"Riverport","Rentopia",5
1380,3,2,6,1,2307,"Terranova","Leaseflow",1.7
3490,1,1,2,2,1445,"Riverport","Leaseflow",2.4
1460,4,2,4,1,592,"Terranova","Rentopia",3.7
2700,1,4,4,1,1986,"Riverport","Rentopia",2.8
2350,1,3,3,1,618,"Terranova","Rentopia",5.2
2230,1,1,7,1,2129,"Blossomville","Rentopia",7
1270,2,1,1,1,2104,"Terranova","Leaseflow",5.5
1780,2,1,1,1,1550,"Blossomville","Rentopia",6.1
3250,1,1,2,4,1659,"Blossomville","Leaseflow",10.3
1870,4,2,3,2,1519,"Blossomville","Leaseflow",4.5
3760,1,2,5,1,1224,"Terranova","Leaseflow",0.8
1870,3,3,3,1,1712,"Blossomville","Rentopia",9.6
2370,2,2,2,1,2147,"Riverport","Rentopia",6.7
1640,4,2,3,1,560,"Terranova","Leaseflow",4.6
1690,4,1,3,1,1369,"Riverport","Leaseflow",4.8
2480,3,3,4,1,2265,"Riverport","Rentopia",4.2
4020,1,1,4,3,1916,"Blossomville","Rentopia",1.3
1740,1,5,5,1,649,"Terranova","Leaseflow",1.1
3130,1,5,5,1,620,"Riverport","Rentopia",2.9
2370,2,9,10,4,655,"Terranova","Rentopia",2.3
1900,4,1,1,1,675,"Riverport","Leaseflow",0.8
4670,1,2,3,4,1712,"Riverport","Rentopia",4.4
1740,3,1,1,2,631,"Blossomville","Rentopia",2.1
2540,1,2,6,1,1426,"Riverport","Rentopia",3.5
2510,1,1,2,2,1462,"Riverport","Leaseflow",5.9
2410,1,2,5,1,1402,"Blossomville","Rentopia",2.8
759,3,3,5,1,1512,"Riverport","Rentopia",4.8
1020,3,1,2,1,1759,"Blossomville","Leaseflow",12.3
1650,1,2,4,1,2545,"Terranova","Leaseflow",7.7
2150,1,2,4,1,2028,"Riverport","Rentopia",5.2
1040,3,1,3,1,2090,"Blossomville","Leaseflow",6.5
1720,4,1,1,2,636,"Riverport","Leaseflow",8.3
1390,1,2,3,1,1713,"Terranova","Rentopia",6
1060,4,1,2,2,641,"Terranova","Leaseflow",1.3
3190,1,5,5,3,1757,"Blossomville","Rentopia",14.2
3260,1,5,5,1,2204,"Terranova","Leaseflow",8.2
2120,3,5,5,1,1902,"Blossomville","Leaseflow",4.1
2300,4,1,4,3,545,"Riverport","Rentopia",3.9
2960,2,2,6,1,1131,"Riverport","Rentopia",1.6
1730,3,2,4,1,655,"Riverport","Rentopia",4.5
-156,4,5,9,1,1304,"Riverport","Rentopia",17
4080,1,1,2,3,1572,"Blossomville","Rentopia",4
2910,2,3,3,4,1087,"Blossomville","Leaseflow",5.9
3580,1,4,5,2,902,"Riverport","Rentopia",3.9
2020,1,4,4,1,1901,"Terranova","Leaseflow",1.8
2400,1,3,4,1,932,"Riverport","Rentopia",7.4
4750,1,2,5,4,750,"Terranova","Rentopia",1.8
2440,1,1,5,4,1387,"Terranova","Rentopia",9.1
3410,1,1,5,3,1423,"Riverport","Rentopia",3.3
2140,2,2,2,1,1005,"Terranova","Rentopia",1.9
734,2,1,3,1,648,"Terranova","Leaseflow",7.5
2820,4,1,3,4,664,"Blossomville","Rentopia",0.7
322,1,2,3,1,550,"Terranova","Leaseflow",13.2
3080,1,3,4,2,1,"Riverport","Rentopia",6.7
5510,1,2,2,4,833,"Terranova","Leaseflow",2.1
1950,1,1,3,1,613,"Terranova","Rentopia",2.5
878,3,2,3,2,646,"Riverport","Rentopia",13.8
2530,1,5,10,1,1303,"Blossomville","Leaseflow",1.3
1450,3,1,3,1,1340,"Terranova","Rentopia",8
3810,1,2,2,4,643,"Terranova","Rentopia",5
2770,1,1,3,1,512,"Terranova","Leaseflow",2.6
3120,2,1,1,4,1741,"Blossomville","Leaseflow",0.2
2300,3,1,1,1,1861,"Blossomville","Leaseflow",5.4
2150,1,4,8,3,646,"Terranova","Leaseflow",8.5
3160,1,2,2,1,660,"Riverport","Rentopia",3.9
-66.3,3,1,2,1,690,"Blossomville","Leaseflow",10
4340,1,6,6,3,649,"Blossomville","Rentopia",0.6
2370,4,1,8,2,720,"Riverport","Rentopia",3.1
2440,1,1,3,1,1780,"Terranova","Rentopia",1.8
3040,2,2,5,4,1160,"Riverport","Rentopia",4.1
2150,2,1,2,2,2101,"Blossomville","Leaseflow",6.1
2120,1,3,4,2,1293,"Blossomville","Rentopia",5.8
1020,3,3,4,1,2004,"Riverport","Rentopia",4.3
1330,1,2,5,1,665,"Blossomville","Rentopia",5.1
1870,4,2,3,1,1276,"Riverport","Rentopia",5.5
1880,1,4,4,1,651,"Terranova","Leaseflow",1.8
3190,1,2,3,2,1602,"Riverport","Rentopia",2.1
2230,1,1,1,1,1073,"Blossomville","Rentopia",1.6
1680,2,6,7,1,1259,"Riverport","Leaseflow",1.7
2000,1,4,8,1,886,"Terranova","Rentopia",5.4
2720,2,3,5,1,1969,"Blossomville","Leaseflow",3.1
373,1,1,3,1,509,"Terranova","Leaseflow",7.3
1400,4,4,4,1,663,"Blossomville","Rentopia",4.5
1990,4,1,3,1,1589,"Riverport","Rentopia",10.7
2250,1,3,4,2,1445,"Blossomville","Rentopia",2.7
2450,1,2,4,1,1126,"Terranova","Leaseflow",1.3
2660,1,2,4,2,2296,"Riverport","Leaseflow",4.7
1800,3,1,2,1,1827,"Blossomville","Rentopia",3.6
852,4,2,10,2,652,"Terranova","Rentopia",4.4
-198,3,3,5,1,1198,"Terranova","Rentopia",10.9
1940,2,1,3,1,2239,"Blossomville","Rentopia",3.1
1420,1,2,2,1,630,"Riverport","Rentopia",9.4
1270,4,3,3,1,1267,"Terranova","Rentopia",6
4080,1,1,5,2,1409,"Riverport","Leaseflow",2.9
1930,2,1,2,1,1410,"Terranova","Rentopia",1.1
1580,4,1,5,1,1455,"Terranova","Rentopia",2.5
3680,1,4,5,2,1491,"Terranova","Leaseflow",1.9
2300,2,1,2,1,1316,"Terranova","Rentopia",4
2470,1,1,3,1,650,"Blossomville","Rentopia",0.4
1860,1,2,5,1,1350,"Terranova","Rentopia",0.1
3030,1,3,4,1,2235,"Terranova","Rentopia",3.1
5460,1,1,4,3,1627,"Terranova","Leaseflow",1.3
1420,1,2,4,1,1443,"Terranova","Rentopia",7.1
1120,2,2,5,1,1711,"Riverport","Rentopia",7
1330,2,1,3,1,655,"Riverport","Rentopia",1.3
2510,2,1,2,1,1290,"Terranova","Rentopia",2.4
1810,1,5,6,1,670,"Blossomville","Leaseflow",4.8
454,4,1,2,3,664,"Terranova","Rentopia",8.6
2130,4,1,2,1,568,"Blossomville","Rentopia",3.8
1550,1,4,5,1,692,"Riverport","Leaseflow",1.6
3220,4,4,4,2,847,"Riverport","Rentopia",1.9
1800,1,4,4,1,1055,"Terranova","Leaseflow",3.9
2120,2,10,10,1,515,"Riverport","Rentopia",4.7
1810,1,1,5,1,1853,"Riverport","Leaseflow",4.3
2460,1,1,3,1,1136,"Riverport","Rentopia",1.3
1830,3,3,5,1,673,"Riverport","Rentopia",5.7
2930,2,5,5,1,1871,"Riverport","Rentopia",0.6
2330,1,1,2,1,640,"Blossomville","Leaseflow",4.3
715,3,2,5,1,1129,"Blossomville","Leaseflow",7
1160,3,1,2,1,644,"Blossomville","Leaseflow",5
2030,1,6,6,2,1084,"Terranova","Rentopia",5.7
1200,1,1,4,1,707,"Riverport","Rentopia",1.6
2610,2,3,3,2,931,"Blossomville","Rentopia",1.1
826,2,6,10,1,825,"Blossomville","Leaseflow",5.7
2960,2,1,3,1,3213,"Blossomville","Rentopia",3
3280,1,5,5,2,1420,"Terranova","Rentopia",1.1
1970,4,3,3,3,2130,"Blossomville","Rentopia",5.2
2680,2,1,4,1,1485,"Riverport","Rentopia",2
1350,4,2,4,4,1415,"Terranova","Leaseflow",2.4
1070,3,1,2,1,621,"Terranova","Rentopia",4.2
3250,1,1,3,4,1597,"Blossomville","Leaseflow",6.3
3230,1,5,8,1,1781,"Riverport","Rentopia",4.1
1850,1,1,1,1,1904,"Blossomville","Rentopia",4.7
1700,2,1,1,1,3254,"Terranova","Rentopia",3.5
2870,1,4,7,2,1953,"Riverport","Leaseflow",7.6
1300,4,1,3,2,1924,"Blossomville","Rentopia",8.5
2180,3,2,3,3,905,"Riverport","Leaseflow",4.4
1370,2,1,2,2,1160,"Terranova","Leaseflow",5.6
3350,1,1,2,2,1675,"Blossomville","Rentopia",5.8
2710,1,2,4,1,880,"Riverport","Rentopia",3.9
2620,1,1,3,1,646,"Riverport","Rentopia",5.5
2590,3,5,6,1,1641,"Riverport","Rentopia",3
1580,4,4,9,1,1846,"Riverport","Rentopia",3.7
2410,1,2,4,1,1687,"Riverport","Leaseflow",2.1
3010,1,2,5,1,772,"Riverport","Leaseflow",1.6
1480,1,4,5,2,653,"Riverport","Rentopia",7.6
1730,3,2,4,1,644,"Blossomville","Rentopia",2.6
2090,1,2,4,1,1703,"Blossomville","Rentopia",5.6
1270,1,1,1,1,966,"Blossomville","Leaseflow",2.6
1930,1,1,2,1,993,"Blossomville","Rentopia",3.6
1380,3,2,5,1,1292,"Terranova","Rentopia",4.1
1710,4,2,7,1,1773,"Terranova","Rentopia",9.5
917,2,1,3,1,1189,"Blossomville","Rentopia",6.2
5810,1,2,3,4,1567,"Riverport","Rentopia",0.3
1900,2,1,9,1,1574,"Blossomville","Leaseflow",5.3
687,3,5,5,1,689,"Terranova","Rentopia",6.6
1600,2,2,3,1,1195,"Blossomville","Leaseflow",3.6
1390,3,1,4,1,692,"Terranova","Rentopia",1.9
1770,2,3,8,1,2094,"Riverport","Rentopia",5
990,3,1,1,1,1113,"Terranova","Leaseflow",1.1
494,4,5,5,1,935,"Blossomville","Leaseflow",10.5
1450,2,1,4,1,1388,"Blossomville","Rentopia",5.5
1750,3,5,5,1,994,"Riverport","Rentopia",1.4
1950,1,1,2,2,617,"Terranova","Rentopia",8.5
1050,4,1,2,1,817,"Terranova","Rentopia",1.4
631,1,1,2,1,1293,"Terranova","Leaseflow",6.9
3620,2,1,1,4,1177,"Blossomville","Rentopia",1.2
1940,3,4,5,1,1560,"Blossomville","Rentopia",3.6
3300,1,2,2,1,2299,"Riverport","Rentopia",4.7
2690,1,1,4,2,1694,"Blossomville","Rentopia",4.4
2210,2,3,5,1,2050,"Terranova","Leaseflow",3.8
1490,3,3,4,1,1068,"Terranova","Leaseflow",5
2440,1,4,5,1,647,"Riverport","Rentopia",1.8
3960,2,1,1,4,657,"Riverport","Rentopia",5.3
3650,1,1,3,1,1552,"Riverport","Rentopia",4
3120,3,1,2,2,1349,"Riverport","Leaseflow",6.3
3940,1,1,1,2,1479,"Blossomville","Leaseflow",3
1470,2,4,4,1,1058,"Terranova","Rentopia",6.4
2270,4,7,9,3,1892,"Terranova","Leaseflow",5
1170,1,1,4,1,1415,"Terranova","Rentopia",10.3
3090,2,4,4,3,1124,"Terranova","Rentopia",1
1450,4,1,2,2,1528,"Blossomville","Leaseflow",2.7
2740,2,1,4,1,2850,"Terranova","Rentopia",1.7
437,4,1,2,1,1625,"Riverport","Rentopia",15.1
1840,3,5,9,3,983,"Blossomville","Leaseflow",2.9
3610,1,1,1,3,1399,"Riverport","Leaseflow",1.8
2270,2,5,7,2,651,"Blossomville","Leaseflow",2.1
2150,1,3,4,1,1286,"Blossomville","Rentopia",5.8
2410,3,2,3,1,2371,"Blossomville","Leaseflow",4.1
1740,1,1,2,1,1675,"Blossomville","Leaseflow",11
959,2,1,1,1,1109,"Blossomville","Rentopia",1.5
1680,3,1,6,1,978,"Blossomville","Rentopia",1.4
2450,2,2,6,2,584,"Terranova","Rentopia",1
902,2,1,2,1,1001,"Blossomville","Rentopia",3.1
1530,4,2,2,1,1181,"Blossomville","Rentopia",7.1
1480,3,1,3,1,1233,"Riverport","Rentopia",2.6
921,4,1,4,2,924,"Blossomville","Rentopia",3.1
1940,3,1,3,3,1112,"Riverport","Rentopia",5.8
2630,3,2,6,1,917,"Riverport","Rentopia",3.4
4070,1,3,4,3,1099,"Blossomville","Leaseflow",7.3
1140,3,1,4,1,785,"Terranova","Rentopia",1.5
1100,4,1,2,1,1754,"Riverport","Rentopia",3
3390,1,1,3,3,1189,"Terranova","Rentopia",1.6
2730,2,8,9,4,593,"Riverport","Rentopia",6.2
2000,3,8,9,1,1175,"Riverport","Leaseflow",3.5
2660,2,1,2,1,1011,"Terranova","Leaseflow",0.8
1730,1,1,2,1,2291,"Terranova","Rentopia",0.9
2550,1,3,4,1,1388,"Blossomville","Rentopia",2.5
1770,4,5,5,1,1086,"Riverport","Leaseflow",5.7
1870,3,2,4,1,809,"Blossomville","Leaseflow",1.4
1610,3,2,6,1,1434,"Terranova","Rentopia",2.3
1280,1,1,2,1,826,"Terranova","Leaseflow",3.5
2090,3,4,5,1,706,"Riverport","Leaseflow",0.7
2270,4,1,2,2,1935,"Terranova","Rentopia",0.7
3410,1,1,7,4,741,"Terranova","Rentopia",6.4
2970,1,3,3,1,653,"Riverport","Leaseflow",3.4
2970,1,1,4,4,1757,"Terranova","Leaseflow",7.7
2050,3,1,3,1,1155,"Blossomville","Rentopia",2.2
2630,1,1,3,1,596,"Blossomville","Rentopia",4.4
1710,2,2,4,1,2171,"Blossomville","Rentopia",5
2350,4,3,4,4,829,"Riverport","Rentopia",2.2
2050,1,2,6,2,1646,"Riverport","Rentopia",4.5
1890,3,2,4,1,1845,"Riverport","Rentopia",1.2
1920,1,2,6,1,598,"Blossomville","Leaseflow",5.8
3300,1,1,8,3,1590,"Riverport","Rentopia",1.5
2240,2,1,3,1,634,"Terranova","Rentopia",0.5
2220,2,2,2,1,654,"Riverport","Rentopia",2.6
2320,1,2,4,1,633,"Blossomville","Leaseflow",2
1410,3,2,4,1,1555,"Blossomville","Rentopia",10.4
2250,2,1,5,1,1314,"Blossomville","Rentopia",4.7
1660,2,1,2,1,1625,"Riverport","Leaseflow",1
1890,1,2,4,1,1806,"Terranova","Leaseflow",4.4
4420,1,1,2,4,1603,"Riverport","Rentopia",3.2
3430,1,1,1,2,1268,"Riverport","Rentopia",1.2
2760,3,1,1,4,944,"Blossomville","Rentopia",1.6
1740,1,3,4,1,646,"Terranova","Rentopia",4.7
1400,2,6,10,3,1256,"Riverport","Rentopia",13.4
497,3,8,9,2,811,"Riverport","Rentopia",12.9
2380,1,1,2,1,2217,"Terranova","Rentopia",2
2430,4,2,4,1,1794,"Blossomville","Rentopia",2.5
2790,4,4,4,1,2096,"Riverport","Leaseflow",2.5
2350,3,3,6,1,2245,"Blossomville","Leaseflow",0.5
2370,1,7,7,1,1157,"Blossomville","Leaseflow",4.1
4150,1,1,4,3,1638,"Terranova","Rentopia",2.8
875,1,1,1,1,1231,"Blossomville","Leaseflow",10
1860,3,2,4,1,1816,"Riverport","Leaseflow",0.9
3130,3,1,2,3,656,"Terranova","Rentopia",3.7
2700,1,1,6,2,630,"Terranova","Rentopia",3.3
2250,1,5,10,1,1199,"Blossomville","Leaseflow",4
1350,3,1,4,1,1198,"Blossomville","Rentopia",2.2
1420,2,1,1,1,1389,"Riverport","Leaseflow",11.5
2360,1,4,5,2,1302,"Riverport","Leaseflow",6.3
2010,1,7,10,2,1404,"Terranova","Rentopia",6.4
4650,1,5,5,4,1560,"Riverport","Rentopia",6.2
1120,2,2,4,1,1249,"Riverport","Rentopia",2.1
1840,1,6,10,1,1529,"Terranova","Leaseflow",2.8
3580,1,2,4,2,1686,"Terranova","Rentopia",1.2
1480,1,3,5,1,647,"Blossomville","Rentopia",3.5
3400,1,4,5,1,1351,"Riverport","Rentopia",1.2
2530,1,4,5,2,559,"Riverport","Rentopia",4.3
1300,4,2,3,1,860,"Blossomville","Rentopia",2.2
479,2,4,5,1,1391,"Riverport","Rentopia",7.3
2520,4,3,4,1,1213,"Riverport","Rentopia",0.6
2180,1,1,2,1,657,"Blossomville","Leaseflow",8.5
1750,2,2,8,1,648,"Riverport","Rentopia",3.4
944,1,1,1,1,2030,"Terranova","Rentopia",5.8
1210,3,1,1,1,669,"Blossomville","Rentopia",2.3
352,1,1,3,1,646,"Terranova","Rentopia",6.1
1830,2,1,1,1,928,"Riverport","Rentopia",4
1670,1,1,4,1,1224,"Terranova","Rentopia",4.3
1800,2,1,3,1,1613,"Blossomville","Rentopia",3.6
2290,1,1,2,1,1088,"Blossomville","Leaseflow",4.1
690,4,2,5,1,655,"Riverport","Leaseflow",9.7
915,3,1,3,1,631,"Blossomville","Rentopia",6.6
3330,2,1,6,4,1222,"Blossomville","Leaseflow",2.6
2250,2,3,4,1,1358,"Riverport","Rentopia",5.1
3050,3,6,6,1,1678,"Riverport","Rentopia",2.5
2990,2,3,6,1,1204,"Riverport","Rentopia",0.4
2340,2,2,2,1,1394,"Riverport","Rentopia",1.1
2400,3,3,4,1,1312,"Riverport","Leaseflow",9.6
2540,2,1,2,4,635,"Blossomville","Rentopia",0.5
3640,1,7,7,1,2595,"Terranova","Leaseflow",3
2580,1,1,2,1,1710,"Terranova","Leaseflow",6.9
907,3,5,5,1,1649,"Terranova","Rentopia",14.4
2280,3,3,5,1,808,"Terranova","Leaseflow",2.4
1750,4,1,3,1,1548,"Blossomville","Rentopia",1.8
1320,4,3,4,1,829,"Blossomville","Leaseflow",1.2
2290,4,1,2,1,639,"Riverport","Leaseflow",3.1
5530,1,1,1,4,1222,"Riverport","Rentopia",0.2
812,1,3,4,2,1327,"Terranova","Rentopia",21
3470,1,1,4,3,665,"Terranova","Rentopia",3.8
2770,1,1,3,1,2159,"Terranova","Leaseflow",4.3
3260,1,1,5,1,1922,"Blossomville","Rentopia",2.9
3300,4,2,2,1,1099,"Riverport","Rentopia",1
2790,1,1,3,1,901,"Blossomville","Rentopia",2.5
2960,1,1,2,1,919,"Blossomville","Rentopia",1.1
1610,1,1,2,1,624,"Blossomville","Leaseflow",5.4
1990,2,3,4,1,1336,"Terranova","Rentopia",2.6
1840,4,1,2,1,1781,"Riverport","Leaseflow",9.6
2130,4,1,2,1,2031,"Riverport","Rentopia",3.1
2270,1,3,4,3,1838,"Riverport","Rentopia",8.1
963,2,1,2,2,2270,"Terranova","Rentopia",14.1
2730,1,1,2,1,1691,"Riverport","Leaseflow",2.6
1720,3,2,4,1,988,"Blossomville","Rentopia",3
2030,1,3,4,1,861,"Blossomville","Leaseflow",5.8
2540,2,1,2,2,2266,"Terranova","Rentopia",5.3
3200,2,5,5,1,1179,"Blossomville","Rentopia",3
3070,2,2,2,2,1370,"Terranova","Rentopia",4.7
2950,1,1,1,3,1203,"Blossomville","Rentopia",5.3
3080,1,2,5,1,3000,"Terranova","Rentopia",2.4
2220,1,3,5,1,1096,"Terranova","Rentopia",4.4
2620,3,9,10,1,1373,"Riverport","Rentopia",1.5
1480,3,1,2,1,1281,"Blossomville","Rentopia",3
2730,1,1,3,2,2071,"Blossomville","Rentopia",4.5
845,3,2,3,2,726,"Riverport","Leaseflow",6.6
2040,1,1,1,1,538,"Blossomville","Rentopia",1.8
1850,4,2,3,1,1828,"Blossomville","Leaseflow",1.2
1960,2,1,5,4,741,"Terranova","Leaseflow",9.1
707,1,1,3,1,1622,"Terranova","Rentopia",3.2
5750,1,7,7,3,2121,"Terranova","Leaseflow",0.2
2820,2,6,7,4,1080,"Blossomville","Rentopia",5
3780,2,1,2,4,2085,"Blossomville","Rentopia",3
2610,2,2,4,2,2083,"Blossomville","Rentopia",7.1
2030,3,1,3,1,2274,"Riverport","Rentopia",10.6
3210,1,7,7,1,1078,"Riverport","Rentopia",1.9
3060,1,1,1,1,2804,"Terranova","Rentopia",1.1
1580,3,10,10,1,1502,"Terranova","Leaseflow",2.9
2240,2,2,3,3,657,"Terranova","Rentopia",3.5
2420,1,3,4,1,506,"Riverport","Rentopia",5.6
3630,1,3,4,2,1253,"Riverport","Rentopia",3.6
2630,1,1,4,1,648,"Blossomville","Rentopia",2.8
2650,1,1,1,1,897,"Riverport","Leaseflow",3
2590,3,7,7,1,1199,"Blossomville","Leaseflow",3.3
2270,3,2,3,1,1704,"Riverport","Rentopia",3.3
1550,2,3,10,1,1663,"Riverport","Leaseflow",2.9
2630,1,1,5,3,1253,"Blossomville","Rentopia",10.2
2360,1,1,2,1,606,"Riverport","Rentopia",2.5
2330,3,4,8,1,1370,"Riverport","Leaseflow",1.5
2470,2,1,3,3,1076,"Terranova","Rentopia",2.9
2980,1,2,3,2,1013,"Blossomville","Rentopia",1.5
2770,1,4,5,1,1832,"Blossomville","Leaseflow",1.1
1350,1,2,3,2,521,"Riverport","Leaseflow",4.1
2550,4,1,2,1,2001,"Riverport","Rentopia",0.6
2050,1,2,3,1,928,"Terranova","Rentopia",1.9
1590,4,1,2,1,1368,"Blossomville","Rentopia",7
2200,1,2,3,1,1793,"Terranova","Leaseflow",4.1
1720,2,2,3,1,1222,"Terranova","Rentopia",2.6
1670,3,1,3,1,661,"Blossomville","Leaseflow",4.3
2580,1,4,6,2,810,"Blossomville","Rentopia",2.8
2610,1,1,3,1,1074,"Riverport","Rentopia",4.3
1850,3,1,1,4,1206,"Blossomville","Leaseflow",6
2400,1,2,3,1,1127,"Blossomville","Rentopia",1.4
4550,1,3,6,4,616,"Riverport","Rentopia",4.3
1190,1,1,5,1,677,"Blossomville","Rentopia",4.8
2390,3,1,3,2,638,"Blossomville","Rentopia",2.3
2190,1,1,4,2,826,"Blossomville","Rentopia",8.9
1480,2,3,5,1,634,"Blossomville","Rentopia",1.1
2000,2,1,1,1,1414,"Terranova","Rentopia",1.3
1330,1,2,3,1,745,"Blossomville","Rentopia",6
936,3,1,2,1,1525,"Blossomville","Leaseflow",13.7
2580,3,1,4,1,2451,"Riverport","Rentopia",3.2
3430,1,1,5,1,2010,"Riverport","Leaseflow",2
2750,1,2,2,2,634,"Terranova","Rentopia",2.1
2220,2,1,3,1,661,"Terranova","Rentopia",4
787,2,2,4,1,1455,"Riverport","Rentopia",2.8
1990,1,1,1,1,529,"Terranova","Leaseflow",1.3
3500,2,2,5,1,2285,"Riverport","Rentopia",4.5
3540,1,4,5,2,742,"Riverport","Rentopia",5.6
1930,1,1,2,1,805,"Riverport","Rentopia",1
445,3,1,3,1,886,"Terranova","Leaseflow",2
1580,2,1,3,1,922,"Blossomville","Rentopia",3.4
2230,4,1,3,2,838,"Riverport","Rentopia",4.6
1660,4,1,3,1,1517,"Blossomville","Rentopia",4.3
